0 49
26 49 8
4 6 18
37 48 13
38 49 19
22 37 3
20 37 8
25 34 10
26 47 1
9 48 6
13 25 9
6 42 15
33 43 12
6 21 7
17 31 14
36 47 10
11 22 9
30 49 16
15 49 5
43 49 17
15 29 18
13 36 10
13 18 5
17 38 12
27 34 9
48 49 5
19 25 9
13 19 7
22 30 6
42 48 20
23 34 10
22 30 7
3 15 12
28 32 19
5 28 16
0 39 14
1 41 11
34 40 8
17 23 3
48 49 1
8 13 4
20 32 4
10 38 4
38 42 15
40 42 14
37 42 1
32 41 20
2 28 5
32 44 13
32 47 19
19 36 8
24 37 18
6 23 10
4 43 8
25 46 5
9 19 17
19 28 10
31 45 6
18 30 8
46 49 3
20 22 7
33 35 1
4 49 16
8 13 7
40 45 17
12 15 17
5 10 10
27 44 10
37 43 20
3 20 19
18 26 17
11 49 16
12 22 15
4 38 16
23 42 2
0 8 1
13 30 11
25 41 11
47 49 12
4 48 16
36 42 19
6 29 17
47 48 5
5 48 9
40 44 10
3 38 7
46 48 3
22 44 20
42 47 2
23 27 12
11 38 15
35 45 5
2 42 14
0 1 6
1 2 10
2 3 18
3 4 7
4 5 16
5 9 4
9 11 4
11 12 5
12 17 8
17 24 5
24 33 16
